"Var1","Freq"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",57
"thank u, next",56
"Arms Around You (feat. Maluma & Swae Lee)",42
"Happier",42
"Bohemian Rhapsody - Remastered 2011",41
"Shallow",36
"Sunflower - Spider-Man: Into the Spider-Verse",36
"Without Me",36
"MIA (feat. Drake)",33
"when the party's over",33
"In My Mind",30
"Better",29
"Eastside (with Halsey & Khalid)",29
"Let You Love Me",29
"MAMA (feat. Nicki Minaj, Kanye West)",29
"ZEZE (feat. Travis Scott & Offset)",29
"Culpables",28
"TIC TOC (feat. Lil Baby)",28
"Girls Like You (feat. Cardi B)",27
"KIKA (feat. Tory Lanez)",27
"SICKO MODE",27
"Sweet but Psycho",27
"Bad Liar",26
"come out and play",25
"Kiss and Make Up",25
"Ruin My Life",25
"Woman Like Me (feat. Nicki Minaj)",25
"All I Want for Christmas Is You",24
"Be Alright",23
"BEBE",23
"Falling Down - Bonus Track",22
"Happy Now (feat. Sandro Cavazza)",22
"Promises (with Sam Smith)",22
"Better Now",21
"Close To Me (with Diplo) (feat. Swae Lee)",21
"Another One Bites The Dust - Remastered 2011",20
"Lucid Dreams",19
"Mo Bamba",19
"Vaina Loca",19
"BAD!",18
"Adan y Eva",17
"Adictiva",17
"Bubalu",17
"Cuando Te Besé",17
"Ella Quiere Beber - Remix",17
"Imposible",17
"Natural",17
"Toda - Remix",17
"WAKA (feat. A Boogie Wit da Hoodie)",17
"Youngblood",17
"Amigos Con Derechos",16
"Asesina - Remix",16
"Ibiza",16
"Last Christmas",16
"Mala Mía",16
"No Es Justo",16
"Te Boté - Remix",16
"Calma - Remix",15
"Desconocidos",15
"Hipócrita",15
"PPP",15
"Quiere Beber",15
"Reggaeton",15
"Ya No Tiene Novio",14
"Asesina",13
"Créeme",13
"Love Someone",13
"lovely (with Khalid)",13
"Sin Pijama",13
"Always Remember Us This Way",12
"Puntos Suspensivos",12
"Rise",12
"SAD!",12
"Somebody To Love - Remastered 2011",12
"La Player (Bandolera)",11
"Está Rico",10
"FEFE (feat. Nicki Minaj & Murda Beatz)",10
"High Hopes",10
"Moonlight",10
"No Me Acuerdo",10
"Reggaetón en lo Oscuro",10
"Santa Tell Me",10
"Taste (feat. Offset)",10
"Body (feat. brando)",9
"MALA (feat. Anuel Aa)",9
"Mocca",9
"Mocca - Remix",9
"This Feeling",9
"Under Pressure - Remastered",9
"2002",8
"Estamos Bien",8
"KANGA (feat. Kanye West)",8
"Por Perro",8
"Shotgun",8
"SOLO",8
"Waste It On Me (feat. BTS)",8
"Chica Paranormal",7
"Clandestino",7
"FEEFA (feat. Gunna)",7
